Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score,BMI,combined_data,label
Mathew Barzal,barzama01,NYI,C,5.6,72,189,1.310473328627761,25.630208333333332,1.31047332862776_72_189_25.6302083333333,6
Justin Schultz,schulju01,PIT,D,5.6,74,193,1.310473328627761,24.777027027027028,1.31047332862776_74_193_24.777027027027,6
Jacob Trouba,troubja01,WPG,D,5.6,75,202,1.310473328627761,25.24551111111111,1.31047332862776_75_202_25.2455111111111,6
Jordan Staal,staaljo01,CAR,C,5.5,76,220,1.2859881900550192,26.776315789473685,1.28598819005502_76_220_26.7763157894737,6
Jaden Schwartz,schwaja01,STL,LW,5.4,70,190,1.2615030514822774,27.259183673469387,1.26150305148228_70_190_27.2591836734694,6
Ryan Nugent-Hopkins,nugenry01,EDM,C,5.4,72,191,1.2615030514822774,25.901427469135804,1.26150305148228_72_191_25.9014274691358,6
Tyler Seguin,seguity01,DAL,C,5.4,73,201,1.2615030514822774,26.51585663351473,1.26150305148228_73_201_26.5158566335147,6
Olli Maatta,maattol01,PIT,D,5.4,74,206,1.2615030514822774,26.445945945945947,1.26150305148228_74_206_26.4459459459459,6
Oscar Klefbom,klefbos01,EDM,D,5.3,75,215,1.2370179129095353,26.87022222222222,1.23701791290954_75_215_26.8702222222222,6
Radek Faksa,faksara01,DAL,C,5.3,75,216,1.2370179129095353,26.9952,1.23701791290954_75_216_26.9952,6
Brendan Gallagher,gallabr01,MTL,RW,5.2,69,181,1.2125327743367935,26.726107960512497,1.21253277433679_69_181_26.7261079605125,6
Alex Steen,steenal01,STL,LW,5.2,72,211,1.2125327743367935,28.613618827160494,1.21253277433679_72_211_28.6136188271605,6
Nate Schmidt,schmina01,VEG,D,5.2,73,194,1.2125327743367935,25.59241884030775,1.21253277433679_73_194_25.5924188403078,6
Brayden McNabb,mcnabbr01,VEG,D,5.2,76,212,1.2125327743367935,25.80263157894737,1.21253277433679_76_212_25.8026315789474,6
Brayden Point,pointbr01,TBL,C,5.1,70,166,1.1880476357640515,23.81591836734694,1.18804763576405_70_166_23.8159183673469,6
Markus Nutivaara,nutivma01,CBJ,D,5.1,73,191,1.1880476357640515,25.196659786076186,1.18804763576405_73_191_25.1966597860762,6
Dustin Brown,browndu01,LAK,RW,5,72,216,1.1635624971913097,29.291666666666668,1.16356249719131_72_216_29.2916666666667,6
Garnet Hathaway,hathaga01,CGY,RW,5,74,208,1.1635624971913097,26.7027027027027,1.16356249719131_74_208_26.7027027027027,6
Joel Armia,armiajo01,WPG,RW,5,75,205,1.1635624971913097,25.620444444444445,1.16356249719131_75_205_25.6204444444444,6
Justin Williams,williju01,CAR,RW,4.9,73,188,1.1390773586185678,24.800900731844624,1.13907735861857_73_188_24.8009007318446,6
Alex Killorn,killoal01,TBL,LW,4.9,73,196,1.1390773586185678,25.85625820979546,1.13907735861857_73_196_25.8562582097955,6
Seth Jones,jonesse01,CBJ,D,4.9,76,210,1.1390773586185678,25.55921052631579,1.13907735861857_76_210_25.5592105263158,6
Conor Sheary,shearco01,PIT,LW,4.8,68,175,1.1145922200458258,26.60575259515571,1.11459222004583_68_175_26.6057525951557,6
Damon Severson,severda01,NJD,D,4.8,74,205,1.1145922200458258,26.31756756756757,1.11459222004583_74_205_26.3175675675676,6
Kevan Miller,milleke03,BOS,D,4.8,74,210,1.1145922200458258,26.95945945945946,1.11459222004583_74_210_26.9594594594595,6
Sean Kuraly,kuralse01,BOS,C,4.8,74,213,1.1145922200458258,27.344594594594593,1.11459222004583_74_213_27.3445945945946,6
Tim Heed,heedti01,SJS,D,4.7,72,185,1.0901070814730838,25.087770061728396,1.09010708147308_72_185_25.0877700617284,6
Paul Stastny,stastpa01,STL,C,4.7,72,193,1.0901070814730838,26.172646604938272,1.09010708147308_72_193_26.1726466049383,6
Anze Kopitar,kopitan01,LAK,C,4.7,75,224,1.0901070814730838,27.99502222222222,1.09010708147308_75_224_27.9950222222222,6
Blake Coleman,colembl01,NJD,C,4.6,71,200,1.0656219429003417,27.891291410434437,1.06562194290034_71_200_27.8912914104344,6
Evander Kane,kaneev01,BUF,LW,4.6,74,212,1.0656219429003417,27.216216216216218,1.06562194290034_74_212_27.2162162162162,6
Torey Krug,krugto01,BOS,D,4.5,69,186,1.0411368043276,27.464398235664778,1.0411368043276_69_186_27.4643982356648,6
Carl Hagelin,hagelca01,PIT,LW,4.5,71,186,1.0411368043276,25.938901011704026,1.0411368043276_71_186_25.938901011704,6
Brock McGinn,mcginbr01,CAR,LW,4.5,72,185,1.0411368043276,25.087770061728396,1.0411368043276_72_185_25.0877700617284,6
Jared Spurgeon,spurgja01,MIN,D,4.4,69,168,1.016651665754858,24.80655324511657,1.01665166575486_69_168_24.8065532451166,6
Antoine Roussel,roussan01,DAL,LW,4.4,71,195,1.016651665754858,27.194009125173576,1.01665166575486_71_195_27.1940091251736,6
Phillip Danault,danauph01,MTL,LW,4.4,73,195,1.016651665754858,25.724338525051603,1.01665166575486_73_195_25.7243385250516,6
Sean Couturier,coutuse01,PHI,C,4.4,75,211,1.016651665754858,26.37031111111111,1.01665166575486_75_211_26.3703111111111,6
Ryan Murray,murrary01,CBJ,D,4.3,73,205,0.9921665271821161,27.043535372490147,0.992166527182116_73_205_27.0435353724901,6
Bobby Ryan,ryanbo01,OTT,RW,4.3,74,209,0.9921665271821161,26.83108108108108,0.992166527182116_74_209_26.8310810810811,6
Brayden Schenn,schenbr01,STL,C,4.2,73,200,0.9676813886093742,26.383936948770877,0.967681388609374_73_200_26.3839369487709,6
Max Pacioretty,pacioma01,MTL,LW,4.2,74,206,0.9676813886093742,26.445945945945947,0.967681388609374_74_206_26.4459459459459,6
