Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI
Ryan Fitzpatrick,FitzRy00,TAM,QB,-175,74,221,-1.5231383696385363,28.37162162162162
Brock Osweiler,OsweBr00,DEN,QB,-187,79,240,-1.6978229201504924,27.034129145970198
Brian Hoyer,HoyeBr00,2TM,QB,-189,75,215,-1.7269370119024852,26.87022222222222
Blaine Gabbert,GabbBl00,ARI,QB,-193,77,235,-1.7851651954064705,27.863889357395852
Tom Savage,SavaTo00,HOU,QB,-204,76,228,-1.9452927000424305,27.75
Drew Stanton,StanDr00,ARI,QB,-205,75,236,-1.959849745918427,29.494755555555557
Matt Moore,MoorMa01,MIA,QB,-214,75,192,-2.090863158802394,23.995733333333334
T.J. Yates,YateT.00,HOU,QB,-219,74,210,-2.163648388182376,26.95945945945946
Kevin Hogan,HogaKe00,CLE,QB,-221,75,217,-2.1927624799343683,27.120177777777776
Nick Foles,FoleNi00,PHI,QB,-221,77,244,-2.1927624799343683,28.93101703491314
Mike Glennon,GlenMi00,CHI,QB,-221,79,225,-2.1927624799343683,25.34449607434706
Bryce Petty,PettBr01,NYJ,QB,-228,75,230,-2.294661801066343,28.744888888888887
Sam Bradford,BradSa00,MIN,QB,-228,76,236,-2.294661801066343,28.723684210526315
David Fales,FaleDa00,MIA,QB,-234,74,212,-2.382004076322321,27.216216216216218
Paxton Lynch,LyncPa00,DEN,QB,-240,79,244,-2.469346351578299,27.4846979650697
EJ Manuel,ManuEJ00,OAK,QB,-241,77,237,-2.4839033974542954,28.10102884128858
Ryan Mallett,MallRy00,BAL,QB,-243,78,240,-2.5130174892062884,27.731755424063117
Patrick Mahomes,MahoPa00,KAN,QB,-245,74,225,-2.542131580958281,28.885135135135137
Nathan Peterman,PeteNa00,BUF,QB,-245,74,226,-2.542131580958281,29.013513513513512
Geno Smith,SmitGe00,NYG,QB,-245,75,218,-2.542131580958281,27.245155555555556
Landry Jones,JoneLa02,PIT,QB,-246,76,225,-2.5566886268342772,27.38486842105263
Nate Sudfeld,SudfNa00,PHI,QB,-247,78,236,-2.5712456727102735,27.269559500328732
Joe Webb,WebbJo00,BUF,QB,-250,76,220,-2.6149168103382627,26.776315789473685
Sean Mannion,MannSe00,LAR,QB,-250,78,229,-2.6149168103382627,26.460716633793556
Cody Kessler,KessCo00,CLE,QB,-252,73,224,-2.6440309020902553,29.550009382623383
A.J. McCarron,McCaA.00,CIN,QB,-252,75,220,-2.6440309020902553,27.49511111111111
Matt Cassel,CassMa00,TEN,QB,-253,77,230,-2.6585879479662515,27.271040647664023
Taylor Heinicke,HeinTa00,HOU,QB,-254,73,210,-2.6731449938422482,27.70313379620942
Jake Rudock,RudoJa00,DET,QB,-254,75,199,-2.6731449938422482,24.87057777777778
Scott Tolzien,TolzSc00,IND,QB,-254,75,205,-2.6731449938422482,25.620444444444445
Cooper Rush,RushCo00,DAL,QB,-254,75,228,-2.6731449938422482,28.494933333333332
Kellen Clemens,ClemKe00,LAC,QB,-256,74,224,-2.7022590855942408,28.756756756756758
Chad Henne,HennCh01,JAX,QB,-256,75,228,-2.7022590855942408,28.494933333333332
Teddy Bridgewater,BridTe00,MIN,QB,-257,74,214,-2.716816131470237,27.472972972972972
Tyler Bray,BrayTy00,KAN,QB,-257,78,232,-2.716816131470237,26.807363576594344
