Name,playerid,Team,Pos,VBD,height,weight,z_score,BMI,combined_data,label
Stephen Anderson,AndeSt01,HOU,TE,-42,74,230,0.4129487318689783,29.527027027027028,0.412948731868978_74_230_29.527027027027,4
Luke Willson,WillLu00,SEA,TE,-43,77,252,0.39839168599298197,29.87957497048406,0.398391685992982_77_252_29.8795749704841,4
Matt Breida,BreiMa00,SFO,RB,-44,70,190,0.3838346401169856,27.259183673469387,0.383834640116986_70_190_27.2591836734694,4
Kendall Wright,WrigKe01,CHI,WR,-44,70,194,0.3838346401169856,27.833061224489796,0.383834640116986_70_194_27.8330612244898,4
Matt Forte,FortMa00,NYJ,RB,-44,73,221,0.3838346401169856,29.154250328391818,0.383834640116986_73_221_29.1542503283918,4
Andy Dalton,DaltAn00,CIN,QB,-44,74,215,0.3838346401169856,27.60135135135135,0.383834640116986_74_215_27.6013513513514,4
Kenny Golladay,GollKe00,DET,WR,-44,76,218,0.3838346401169856,26.532894736842106,0.383834640116986_76_218_26.5328947368421,4
Ricky Seals-Jones,SealRi00,ARI,TE,-44,77,243,0.3838346401169856,28.812447292966773,0.383834640116986_77_243_28.8124472929668,4
Corey Clement,ClemCo00,PHI,RB,-45,70,220,0.36927759424098927,31.56326530612245,0.369277594240989_70_220_31.5632653061224,4
Emmanuel Sanders,SandEm00,DEN,WR,-45,71,186,0.36927759424098927,25.938901011704026,0.369277594240989_71_186_25.938901011704,4
Adam Humphries,HumpAd00,TAM,WR,-45,71,195,0.36927759424098927,27.194009125173576,0.369277594240989_71_195_27.1940091251736,4
Marlon Mack,MackMa00,IND,RB,-45,71,213,0.36927759424098927,29.704225352112676,0.369277594240989_71_213_29.7042253521127,4
Deonte Thompson,ThomDe04,2TM,WR,-46,72,200,0.3547205483649929,27.121913580246915,0.354720548364993_72_200_27.1219135802469,4
Gerald Everett,EverGe00,LAR,TE,-46,75,239,0.3547205483649929,29.869688888888888,0.354720548364993_75_239_29.8696888888889,4
Zach Miller,MillZa02,CHI,TE,-46,76,233,0.3547205483649929,28.35855263157895,0.354720548364993_76_233_28.3585526315789,4
Tyler Higbee,HigbTy00,LAR,TE,-46,77,233,0.3547205483649929,27.62674987350312,0.354720548364993_77_233_27.6267498735031,4
Rhett Ellison,ElliRh00,NYG,TE,-46,77,251,0.3547205483649929,29.761005228537694,0.354720548364993_77_251_29.7610052285377,4
Darren Fells,FellDa01,DET,TE,-46,79,281,0.3547205483649929,31.652459541740107,0.354720548364993_79_281_31.6524595417401,4
Austin Ekeler,EkelAu00,LAC,RB,-47,70,195,0.34016350248899657,27.976530612244897,0.340163502488997_70_195_27.9765306122449,4
Jacoby Brissett,BrisJa00,IND,QB,-47,76,231,0.34016350248899657,28.11513157894737,0.340163502488997_76_231_28.1151315789474,4
JJ Nelson,NelsJJ00,ARI,WR,-48,70,156,0.3256064566130002,22.38122448979592,0.325606456613_70_156_22.3812244897959,4
Josh McCown,McCoJo01,NYJ,QB,-48,76,212,0.3256064566130002,25.80263157894737,0.325606456613_76_212_25.8026315789474,4
A.J. Derby,DerbA.00,2TM,TE,-48,76,255,0.3256064566130002,31.036184210526315,0.325606456613_76_255_31.0361842105263,4
James White,WhitJa02,NWE,RB,-49,69,204,0.3110494107370039,30.12224322621298,0.311049410737004_69_204_30.122243226213,4
Derek Carr,CarrDe02,OAK,QB,-49,74,214,0.3110494107370039,27.472972972972972,0.311049410737004_74_214_27.472972972973,4
Jordan Reed,ReedJo02,WAS,TE,-49,75,236,0.3110494107370039,29.494755555555557,0.311049410737004_75_236_29.4947555555556,4
Jeremy Maclin,MaclJe00,BAL,WR,-51,72,200,0.2819353189850112,27.121913580246915,0.281935318985011_72_200_27.1219135802469,4
Terrance Williams,WillTe01,DAL,WR,-51,74,208,0.2819353189850112,26.7027027027027,0.281935318985011_74_208_26.7027027027027,4
Allen Hurns,HurnAl01,JAX,WR,-51,75,195,0.2819353189850112,24.370666666666665,0.281935318985011_75_195_24.3706666666667,4
Eric Decker,DeckEr00,TEN,WR,-51,75,206,0.2819353189850112,25.74542222222222,0.281935318985011_75_206_25.7454222222222,4
Jameis Winston,WinsJa00,TAM,QB,-51,76,232,0.2819353189850112,28.236842105263158,0.281935318985011_76_232_28.2368421052632,4
Adam Shaheen,ShahAd00,CHI,TE,-51,78,278,0.2819353189850112,32.122616699539776,0.281935318985011_78_278_32.1226166995398,4
Demetrius Harris,HarrDe03,KAN,TE,-52,79,230,0.2673782731090148,25.90770709822144,0.267378273109015_79_230_25.9077070982214,4
Martellus Bennett,BennMa00,2TM,TE,-53,79,248,0.2528212272330185,27.935266784169205,0.252821227233018_79_248_27.9352667841692,4
Chris Godwin,GodwCh00,TAM,WR,-54,73,209,0.23826418135702213,27.571214111465565,0.238264181357022_73_209_27.5712141114656,4
Rod Smith,SmitRo06,DAL,RB,-54,75,231,0.23826418135702213,28.869866666666667,0.238264181357022_75_231_28.8698666666667,4
Jonnu Smith,SmitJo01,TEN,TE,-54,75,248,0.23826418135702213,30.99448888888889,0.238264181357022_75_248_30.9944888888889,4
Aaron Jones,JoneAa00,GNB,RB,-56,69,208,0.2091500896050294,30.712875446334802,0.209150089605029_69_208_30.7128754463348,4
Wayne Gallman,GallWa00,NYG,RB,-56,72,215,0.2091500896050294,29.156057098765434,0.209150089605029_72_215_29.1560570987654,4
Lance Kendricks,KendLa00,GNB,TE,-56,75,240,0.2091500896050294,29.994666666666667,0.209150089605029_75_240_29.9946666666667,4
Jeff Heuerman,HeueJe00,DEN,TE,-56,77,255,0.2091500896050294,30.235284196323157,0.209150089605029_77_255_30.2352841963232,4
Peyton Barber,BarbPe01,TAM,RB,-57,71,225,0.19459304372903305,31.37770283673874,0.194593043729033_71_225_31.3777028367387,4
Vance McDonald,McDoVa00,PIT,TE,-57,76,267,0.19459304372903305,32.49671052631579,0.194593043729033_76_267_32.4967105263158,4
