Name,playerid,Team,Pos,PER,height,weight,z_score,BMI,combined_data,label
Joe Ingles,inglejo01,UTA,SF,12.3,80,226,-0.4111522692697859,24.8246875,-0.411152269269786_80_226_24.8246875,3
Cheick Diallo,diallch01,NOP,PF,12.3,81,220,-0.4111522692697859,23.572626124066453,-0.411152269269786_81_220_23.5726261240665,3
Noah Vonleh,vonleno01,POR,PF,12.3,82,240,-0.4111522692697859,25.09220701963117,-0.411152269269786_82_240_25.0922070196312,3
Al-Farouq Aminu,aminual01,POR,PF,12.2,81,220,-0.4317696432375298,23.572626124066453,-0.43176964323753_81_220_23.5726261240665,3
Ricky Rubio,rubiori01,UTA,PG,12.1,76,194,-0.45238701720527336,23.611842105263158,-0.452387017205273_76_194_23.6118421052632,3
Lance Stephenson,stephla01,IND,SG,12.1,77,230,-0.45238701720527336,27.271040647664023,-0.452387017205273_77_230_27.271040647664,3
Justin Holiday,holidju01,CHI,SG,12.1,78,185,-0.45238701720527336,21.37656147271532,-0.452387017205273_78_185_21.3765614727153,3
Lonzo Ball,balllo01,LAL,PG,12.1,78,190,-0.45238701720527336,21.9543063773833,-0.452387017205273_78_190_21.9543063773833,3
Danny Green,greenda02,SAS,SG,12.1,78,215,-0.45238701720527336,24.843030900723207,-0.452387017205273_78_215_24.8430309007232,3
Trevor Ariza,arizatr01,HOU,SF,12.1,80,215,-0.45238701720527336,23.61640625,-0.452387017205273_80_215_23.61640625,3
Aron Baynes,baynear01,BOS,C,12.1,82,260,-0.45238701720527336,27.183224271267104,-0.452387017205273_82_260_27.1832242712671,3
Marreese Speights,speigma01,ORL,C,12,82,255,-0.4730043911730169,26.66046995835812,-0.473004391173017_82_255_26.6604699583581,3
Cory Joseph,josepco01,IND,PG,11.9,75,193,-0.4936217651407605,24.12071111111111,-0.493621765140761_75_193_24.1207111111111,3
Jarrett Jack,jackja01,NYK,PG,11.9,75,200,-0.4936217651407605,24.995555555555555,-0.493621765140761_75_200_24.9955555555556,3
Denzel Valentine,valende01,CHI,SG,11.9,78,212,-0.4936217651407605,24.49638395792242,-0.493621765140761_78_212_24.4963839579224,3
Royce O'Neale,onealro01,UTA,SF,11.7,78,215,-0.5348565130762479,24.843030900723207,-0.534856513076248_78_215_24.8430309007232,3
Taurean Waller-Prince,princta02,ATL,SF,11.6,80,220,-0.5554738870439916,24.165625,-0.555473887043992_80_220_24.165625,2
Yogi Ferrell,ferreyo01,DAL,SG,11.5,72,180,-0.5760912610117351,24.40972222222222,-0.576091261011735_72_180_24.4097222222222,2
Shelvin Mack,macksh01,ORL,PG,11.5,75,203,-0.5760912610117351,25.37048888888889,-0.576091261011735_75_203_25.3704888888889,2
Luke Kennard,kennalu01,DET,SG,11.5,78,206,-0.5760912610117351,23.803090072320842,-0.576091261011735_78_206_23.8030900723208,2
Anthony Tolliver,tollian01,DET,PF,11.5,80,240,-0.5760912610117351,26.3625,-0.576091261011735_80_240_26.3625,2
Nick Young,youngni01,GSW,SG,11.4,79,210,-0.5967086349794787,23.65486300272392,-0.596708634979479_79_210_23.6548630027239,2
Nicolas Batum,batumni01,CHO,SG,11.4,80,200,-0.5967086349794787,21.96875,-0.596708634979479_80_200_21.96875,2
Mario Hezonja,hezonma01,ORL,SF,11.4,80,215,-0.5967086349794787,23.61640625,-0.596708634979479_80_215_23.61640625,2
Luke Babbitt,babbilu01,ATL,SF,11.4,81,225,-0.5967086349794787,24.108367626886146,-0.596708634979479_81_225_24.1083676268861,2
Markieff Morris,morrima02,WAS,PF,11.4,82,245,-0.5967086349794787,25.614961332540155,-0.596708634979479_82_245_25.6149613325402,2
Justise Winslow,winslju01,MIA,SF,11.3,79,225,-0.6173260089472222,25.34449607434706,-0.617326008947222_79_225_25.3444960743471,2
Eric Moreland,moreler01,DET,PF,11.3,82,238,-0.6173260089472222,24.88310529446758,-0.617326008947222_82_238_24.8831052944676,2
Shaun Livingston,livinsh01,GSW,PG,11.2,79,192,-0.6379433829149662,21.627303316776157,-0.637943382914966_79_192_21.6273033167762,2
Andrew Harrison,harrian01,MEM,PG,11.1,78,213,-0.6585607568827098,24.611932938856015,-0.65856075688271_78_213_24.611932938856,2
Sam Dekker,dekkesa01,LAC,PF,11.1,81,230,-0.6585607568827098,24.64410912970584,-0.65856075688271_81_230_24.6441091297058,2
Andre Roberson,roberan03,OKC,SG,11,79,210,-0.6791781308504533,23.65486300272392,-0.679178130850453_79_210_23.6548630027239,2
Miles Plumlee,plumlmi01,ATL,C,11,83,249,-0.6791781308504533,25.40963855421687,-0.679178130850453_83_249_25.4096385542169,2
Timofey Mozgov,mozgoti01,BRK,C,11,85,275,-0.6791781308504533,26.757785467128027,-0.679178130850453_85_275_26.757785467128,2
Avery Bradley,bradlav01,DET,SG,10.9,74,180,-0.6997955048181969,23.10810810810811,-0.699795504818197_74_180_23.1081081081081,2
Dion Waiters,waitedi01,MIA,SG,10.9,76,225,-0.6997955048181969,27.38486842105263,-0.699795504818197_76_225_27.3848684210526,2
Allen Crabbe,crabbal01,BRK,SG,10.9,78,210,-0.6997955048181969,24.265285996055226,-0.699795504818197_78_210_24.2652859960552,2
Marquese Chriss,chrisma01,PHO,PF,10.9,82,233,-0.6997955048181969,24.360350981558597,-0.699795504818197_82_233_24.3603509815586,2
Ian Mahinmi,mahinia01,WAS,C,10.9,83,250,-0.6997955048181969,25.51168529539846,-0.699795504818197_83_250_25.5116852953985,2
Andrew Bogut,bogutan01,LAL,C,10.9,84,260,-0.6997955048181969,25.90419501133787,-0.699795504818197_84_260_25.9041950113379,2
Wesley Matthews,matthwe02,DAL,SF,10.8,77,220,-0.7204128787859404,26.085343228200372,-0.72041287878594_77_220_26.0853432282004,2
Cristiano Felicio,feliccr01,CHI,C,10.8,82,275,-0.7204128787859404,28.75148720999405,-0.72041287878594_82_275_28.751487209994,2
Pat Connaughton,connapa01,POR,SG,10.7,77,206,-0.7410302527536844,24.425366840951256,-0.741030252753684_77_206_24.4253668409513,2
Josh Hart,hartjo01,LAL,SG,10.7,77,209,-0.7410302527536844,24.78107606679035,-0.741030252753684_77_209_24.7810760667904,2
Vince Carter,cartevi01,SAC,SF,10.7,78,220,-0.7410302527536844,25.42077580539119,-0.741030252753684_78_220_25.4207758053912,2
Doug McDermott,mcderdo01,NYK,SF,10.6,80,225,-0.7616476267214279,24.71484375,-0.761647626721428_80_225_24.71484375,2
Tim Frazier,fraziti01,WAS,PG,10.5,73,170,-0.7822650006891715,22.426346406455245,-0.782265000689171_73_170_22.4263464064552,2
Troy Daniels,danietr01,PHO,SG,10.5,76,205,-0.7822650006891715,24.950657894736842,-0.782265000689171_76_205_24.9506578947368,2
Jarell Martin,martija01,MEM,PF,10.5,82,239,-0.7822650006891715,24.987656157049376,-0.782265000689171_82_239_24.9876561570494,2
Tyler Ennis,ennisty01,LAL,PG,10.4,75,194,-0.802882374656915,24.24568888888889,-0.802882374656915_75_194_24.2456888888889,2
Andre Iguodala,iguodan01,GSW,SF,10.4,78,215,-0.802882374656915,24.843030900723207,-0.802882374656915_78_215_24.8430309007232,2
Terrence Ross,rosste01,ORL,SG,10.4,79,206,-0.802882374656915,23.20429418362442,-0.802882374656915_79_206_23.2042941836244,2
C.J. Williams,willicj01,LAC,SG,10.3,77,225,-0.8234997486246586,26.678191937932198,-0.823499748624659_77_225_26.6781919379322,2
T.J. Leaf,leaftj01,IND,PF,10.3,82,222,-0.8234997486246586,23.210291493158834,-0.823499748624659_82_222_23.2102914931588,2
Shane Larkin,larkish01,BOS,PG,10.2,71,175,-0.8441171225924026,24.404879984130133,-0.844117122592403_71_175_24.4048799841301,2
Darius Miller,milleda01,NOP,SF,10.2,80,235,-0.8441171225924026,25.81328125,-0.844117122592403_80_235_25.81328125,2
Jose Calderon,caldejo01,CLE,PG,10.1,75,200,-0.8647344965601461,24.995555555555555,-0.864734496560146_75_200_24.9955555555556,2
Ron Baker,bakerro01,NYK,SG,10.1,76,220,-0.8647344965601461,26.776315789473685,-0.864734496560146_76_220_26.7763157894737,2
Treveon Graham,grahatr01,CHO,SG,10.1,78,220,-0.8647344965601461,25.42077580539119,-0.864734496560146_78_220_25.4207758053912,2
Wesley Johnson,johnswe01,LAC,SF,10.1,79,215,-0.8647344965601461,24.218074026598302,-0.864734496560146_79_215_24.2180740265983,2
Mario Chalmers,chalmma01,MEM,PG,10,74,190,-0.8853518705278897,24.39189189189189,-0.88535187052789_74_190_24.3918918918919,2
De'Aaron Fox,foxde01,SAC,PG,10,75,170,-0.8853518705278897,21.246222222222222,-0.88535187052789_75_170_21.2462222222222,2
Malcolm Delaney,delanma01,ATL,PG,10,75,190,-0.8853518705278897,23.74577777777778,-0.88535187052789_75_190_23.7457777777778,2
Jodie Meeks,meeksjo01,WAS,SG,10,76,210,-0.8853518705278897,25.55921052631579,-0.88535187052789_76_210_25.5592105263158,2
Jae Crowder,crowdja01,CLE,SF,10,78,235,-0.8853518705278897,27.154010519395136,-0.88535187052789_78_235_27.1540105193951,2
Aaron Brooks,brookaa01,MIN,PG,9.9,72,161,-0.9059692444956332,21.833140432098766,-0.905969244495633_72_161_21.8331404320988,2
Wilson Chandler,chandwi01,DEN,SF,9.9,80,225,-0.9059692444956332,24.71484375,-0.905969244495633_80_225_24.71484375,2
Maurice Harkless,harklma01,POR,SF,9.9,81,215,-0.9059692444956332,23.03688462124676,-0.905969244495633_81_215_23.0368846212468,2
Marcus Smart,smartma01,BOS,SG,9.8,76,220,-0.9265866184633768,26.776315789473685,-0.926586618463377_76_220_26.7763157894737,2
Tony Snell,snellto01,MIL,SG,9.8,79,200,-0.9265866184633768,22.528440954975164,-0.926586618463377_79_200_22.5284409549752,2
OG Anunoby,anunoog01,TOR,SF,9.8,80,232,-0.9265866184633768,25.48375,-0.926586618463377_80_232_25.48375,2
