Name,playerid,Team,Pos,ExpectedPM,height,weight,z_score
Andreas Borgman,borgman01,TOR,D,3.9,72,212,0.8942259728911484
Zach Hyman,hymanza01,TOR,C,3.9,73,213,0.8942259728911484
Matthew Tkachuk,tkachma01,CGY,LW,3.9,74,202,0.8942259728911484
Brandon Davidson,davidbr01,TOT,D,3.9,74,208,0.8942259728911484
Mika Zibanejad,zibanmi01,NYR,C,3.9,74,227,0.8942259728911484
Nazem Kadri,kadrina01,TOR,C,3.8,72,190,0.8697408343184064
Morgan Rielly,riellmo01,TOR,D,3.8,73,217,0.8697408343184064
Josh Anderson,anderjo05,CBJ,RW,3.8,75,221,0.8697408343184064
Darnell Nurse,nurseda01,EDM,D,3.8,76,221,0.8697408343184064
Paul Byron,byronpa01,MTL,LW,3.7,69,162,0.8452556957456645
Yanni Gourde,gourdya01,TBL,C,3.7,69,172,0.8452556957456645
Kyle Turris,turriky01,TOT,C,3.7,73,190,0.8452556957456645
Derick Brassard,brassde01,OTT,C,3.7,73,202,0.8452556957456645
Chris Tierney,tiernch01,SJS,C,3.6,73,195,0.8207705571729226
Shea Theodore,theodsh01,VEG,D,3.6,74,195,0.8207705571729226
Pavel Zacha,zachapa01,NJD,C,3.6,75,210,0.8207705571729226
Connor Murphy,murphco02,CHI,D,3.6,76,212,0.8207705571729226
Artturi Lehkonen,lehkoar01,MTL,LW,3.5,72,183,0.79628541860018065
Timo Meier,meierti01,SJS,RW,3.5,72,215,0.79628541860018065
Patrick Marleau,marlepa01,TOR,LW,3.5,74,215,0.79628541860018065
Connor Carrick,carrico01,TOR,D,3.4,70,192,0.7718002800274387
Tyler Bozak,bozakty01,TOR,C,3.4,73,199,0.7718002800274387
Stefan Noesen,noesest01,NJD,RW,3.4,73,205,0.7718002800274387
Jesper Bratt,brattje01,NJD,LW,3.3,70,175,0.7473151414546967
Elias Lindholm,lindhel01,CAR,C,3.3,73,192,0.7473151414546967
Steven Stamkos,stamkst01,TBL,C,3.3,73,194,0.7473151414546967
Shea Weber,webersh01,MTL,D,3.3,76,230,0.7473151414546967
Ryan Callahan,callary01,TBL,RW,3.2,70,187,0.7228300028819549
Alexander Wennberg,wennbal01,CBJ,C,3.2,74,196,0.7228300028819549
Rick Nash,nashri01,NYR,RW,3.2,76,211,0.7228300028819549
Jesse Puljujarvi,puljuje01,EDM,RW,3.2,76,211,0.7228300028819549
Noel Acciari,acciano01,BOS,C,3.1,70,208,0.6983448643092129
Andrew Shaw,shawan01,MTL,RW,3.1,71,182,0.6983448643092129
Nico Hischier,hischni01,NJD,C,3.1,73,175,0.6983448643092129
Brandon Saad,saadbr01,CHI,LW,3.1,73,206,0.6983448643092129
Jonathan Toews,toewsjo01,CHI,C,3.1,74,201,0.6983448643092129
Lance Bouma,boumala01,CHI,LW,3.1,74,208,0.6983448643092129
Jake Dotchin,dotchja01,TBL,D,3.1,75,210,0.6983448643092129
Brendan Leipsic,leipsbr01,VEG,LW,3,70,180,0.673859725736471
Drew Doughty,doughdr01,LAK,D,3,73,200,0.673859725736471
Matt Martin,martima02,TOR,LW,3,75,220,0.673859725736471
Brent Seabrook,seabrbr01,CHI,D,3,75,220,0.673859725736471
Mark Stone,stonema01,OTT,RW,3,76,219,0.673859725736471
Anton Stralman,stralan01,TBL,D,2.9,71,190,0.649374587163729
Evgeni Malkin,malkiev01,PIT,C,2.9,75,195,0.649374587163729
Gustav Olofsson,olofsgu01,MIN,D,2.9,75,196,0.649374587163729
Gemel Smith,smithge02,DAL,C,2.8,70,190,0.624889448590987
James Neal,nealja01,VEG,LW,2.8,74,221,0.624889448590987
Roman Polak,polakro01,TOR,D,2.8,74,235,0.624889448590987
Mark Jankowski,jankoma01,CGY,C,2.8,76,202,0.624889448590987
Cody Franson,fransco01,CHI,D,2.8,77,224,0.624889448590987
William Nylander,nylanwi01,TOR,C,2.7,72,191,0.6004043100182452
Bo Horvat,horvabo01,VAN,C,2.7,72,223,0.6004043100182452
Nate Prosser,prossna01,TOT,D,2.7,74,206,0.6004043100182452
Adam Pelech,pelecad01,NYI,D,2.7,75,217,0.6004043100182452
Claude Giroux,giroucl01,PHI,C,2.6,71,185,0.5759191714455033
Alex Iafallo,iafalal01,LAK,C,2.6,72,185,0.5759191714455033
Jake Debrusk,debruja01,BOS,LW,2.6,72,188,0.5759191714455033
Josh Morrissey,morrijo04,WPG,D,2.6,72,195,0.5759191714455033
Jakub Vrana,vranaja01,WSH,LW,2.6,72,197,0.5759191714455033
Travis Sanheim,sanhetr01,PHI,D,2.5,75,181,0.5514340328727614
Eric Staal,staaler01,MIN,C,2.5,76,209,0.5514340328727614
J.T. Brown,brownjt01,TOT,RW,2.4,70,169,0.5269488943000193
Ben Lovejoy,lovejbe01,NJD,D,2.4,73,205,0.5269488943000193
Gabriel Landeskog,landega01,COL,LW,2.4,73,215,0.5269488943000193
Ryan Reaves,reavery01,PIT,RW,2.4,73,225,0.5269488943000193
Oskar Sundqvist,sundqos01,STL,C,2.4,75,209,0.5269488943000193
Brett Ritchie,ritchbr01,DAL,RW,2.4,75,217,0.5269488943000193
Nick Schmaltz,schmani01,CHI,LW,2.3,72,177,0.5024637557272774
Ondrej Kase,kaseon01,ANA,RW,2.3,72,185,0.5024637557272774
Matt Hendricks,hendrma01,WPG,LW,2.3,72,209,0.5024637557272774
Carl Gunnarsson,gunnaca01,STL,D,2.3,74,198,0.5024637557272774
Julius Honka,honkaju01,DAL,D,2.2,71,186,0.47797861715453555
Anders Bjork,bjorkan01,BOS,LW,2.2,72,186,0.47797861715453555
Dylan DeMelo,demeldy01,SJS,D,2.2,73,195,0.47797861715453555
Dan Girardi,girarda01,TBL,D,2.2,73,212,0.47797861715453555
Henrik Sedin,sedinhe01,VAN,C,2.2,74,183,0.47797861715453555
Ryan Suter,suterry01,MIN,D,2.2,74,202,0.47797861715453555
Tomas Hertl,hertlto01,SJS,C,2.2,74,220,0.47797861715453555
Brett Pesce,pescebr01,CAR,D,2.2,75,200,0.47797861715453555
Ryan Johansen,johanry01,NSH,C,2.2,75,218,0.47797861715453555
Jaromir Jagr,jagrja01,CGY,RW,2.2,75,230,0.47797861715453555
Stephen Johns,johnsst03,DAL,D,2.2,76,221,0.47797861715453555
Ryan Getzlaf,getzlry01,ANA,C,2.2,76,223,0.47797861715453555
Anthony Mantha,manthan01,DET,RW,2.2,77,225,0.47797861715453555
Tyler Pitlick,pitlity01,DAL,C,2.1,74,200,0.45349347858179356
Christian Folin,folinch01,LAK,D,2.1,75,204,0.45349347858179356
Brian Boyle,boylebr01,NJD,C,2.1,78,245,0.45349347858179356
Tyler Johnson,johnsty01,TBL,C,2,68,183,0.42900834000905164
Teuvo Teravainen,teravte01,CAR,LW,2,71,178,0.42900834000905164
Taylor Leier,leierta01,PHI,LW,2,71,180,0.42900834000905164
P.K. Subban,subbapk01,NSH,D,2,72,210,0.42900834000905164
Dustin Byfuglien,byfugdu01,WPG,D,2,77,260,0.42900834000905164
Jakub Jerabek,jerabja01,MTL,D,1.9,71,200,0.40452320143630965
Dominic Moore,mooredo01,TOR,C,1.9,72,192,0.40452320143630965
Mikko Rantanen,rantami01,COL,RW,1.9,76,211,0.40452320143630965
Alex Biega,biegaal01,VAN,D,1.8,70,193,0.3800380628635678
Jake Guentzel,guentja01,PIT,C,1.8,71,180,0.3800380628635678
Gustav Nyquist,nyquigu01,DET,RW,1.8,71,184,0.3800380628635678
Lukas Sedlak,sedlalu01,CBJ,LW,1.8,72,205,0.3800380628635678
Michael Frolik,frolimi01,CGY,RW,1.8,73,194,0.3800380628635678
Jordie Benn,bennjo01,MTL,D,1.8,74,198,0.3800380628635678
Nino Niederreiter,niedeni01,MIN,RW,1.8,74,216,0.3800380628635678
Charlie Coyle,coylech01,MIN,C,1.8,75,221,0.3800380628635678
Dmitry Orlov,orlovdm01,WSH,D,1.7,71,212,0.3555529242908258
Radko Gudas,gudasra01,PHI,D,1.7,72,204,0.3555529242908258
Daniel Sedin,sedinda01,VAN,LW,1.7,73,190,0.3555529242908258
Colin Wilson,wilsoco01,COL,C,1.7,73,221,0.3555529242908258
Micheal Ferland,ferlami01,CGY,LW,1.7,74,208,0.3555529242908258
Erik Haula,haulaer01,VEG,LW,1.6,72,193,0.33106778571808393
Vladimir Tarasenko,tarasvl01,STL,RW,1.6,72,225,0.33106778571808393
Michael Grabner,grabnmi01,NYR,RW,1.6,73,188,0.33106778571808393
Mark Scheifele,scheima01,WPG,C,1.6,75,207,0.33106778571808393
Brandon Manning,mannibr01,PHI,D,1.5,73,205,0.30658264714534195
Greg Pateryn,patergr01,DAL,D,1.5,75,224,0.30658264714534195
Chad Ruhwedel,ruhwech01,PIT,D,1.4,71,191,0.2820975085726
Oliver Bjorkstrand,bjorkol01,CBJ,RW,1.4,72,177,0.2820975085726
Sam Reinhart,reinhsa01,BUF,C,1.4,73,192,0.2820975085726
Mikael Backlund,backlmi01,CGY,C,1.4,73,199,0.2820975085726
Dmitry Kulikov,kulikdm01,WPG,D,1.4,73,204,0.2820975085726
Ian Cole,coleia01,PIT,D,1.4,73,219,0.2820975085726
Kyle Brodziak,brodzky01,STL,C,1.4,74,209,0.2820975085726
James van Riemsdyk,vanrija01,TOR,LW,1.4,75,217,0.2820975085726
Matt Hunwick,hunwima01,PIT,D,1.3,71,200,0.2576123699998581
Marcus Kruger,krugema01,CAR,C,1.3,72,186,0.2576123699998581
Oscar Lindberg,lindbos02,VEG,C,1.3,73,202,0.2576123699998581
Slater Koekkoek,koekksl01,TBL,D,1.3,74,193,0.2576123699998581
Brady Skjei,skjeibr01,NYR,D,1.3,75,211,0.2576123699998581
Frank Vatrano,vatrafr01,BOS,C,1.2,69,201,0.23312723142711617
Christian Djoos,djoosch01,WSH,D,1.2,72,169,0.23312723142711617
Brian Gibbons,gibbobr02,NJD,LW,1.1,68,175,0.20864209285437427
Andy Greene,greenan01,NJD,D,1.1,71,190,0.20864209285437427
Pierre-Edouard Bellemare,bellepi01,VEG,LW,1.1,72,198,0.20864209285437427
Sam Bennett,bennesa01,CGY,C,1.1,73,200,0.20864209285437427
Mark Pysyk,pysykma01,FLA,D,1.1,73,200,0.20864209285437427
Blake Wheeler,wheelbl01,WPG,RW,1.1,77,225,0.20864209285437427
Yohann Auvitu,auvityo01,EDM,D,1,71,187,0.1841569542816323
Pavel Buchnevich,buchnpa01,NYR,RW,1,74,191,0.1841569542816323
Ryan Spooner,spoonry01,BOS,C,0.9,70,187,0.15967181570889039
Torrey Mitchell,mitchto01,TOT,C,0.9,71,186,0.15967181570889039
Jason Demers,demerja01,ARI,D,0.9,73,195,0.15967181570889039
Brett Kulak,kulakbr01,CGY,D,0.9,74,187,0.15967181570889039
Brad Hunt,huntbr01,VEG,D,0.8,69,187,0.13518667713614846
Travis Konecny,konectr01,PHI,C,0.8,70,175,0.13518667713614846
Tommy Wingels,wingeto01,CHI,RW,0.8,72,200,0.13518667713614846
Patrick Sharp,sharppa01,CHI,LW,0.8,73,200,0.13518667713614846
Jeff Petry,petryje01,MTL,D,0.8,75,208,0.13518667713614846
Brian Dumoulin,dumoubr01,PIT,D,0.8,76,207,0.13518667713614846
Alex DeBrincat,debrial01,CHI,RW,0.7,67,165,0.1107015385634065
Cam Atkinson,atkinca01,CBJ,RW,0.7,68,179,0.1107015385634065
Joakim Ryan,ryanjo02,SJS,D,0.7,71,185,0.1107015385634065
Jussi Jokinen,jokinju01,TOT,LW,0.7,72,191,0.1107015385634065
Erik Karlsson,karlser01,OTT,D,0.7,72,191,0.1107015385634065
Richard Panik,panikri01,TOT,RW,0.7,73,208,0.1107015385634065
Victor Rask,raskvi01,CAR,C,0.7,74,200,0.1107015385634065
Jakub Voracek,voracja01,PHI,RW,0.7,74,214,0.1107015385634065
Leo Komarov,komarle01,TOR,C,0.6,71,209,0.08621639999066458
Chris Kunitz,kunitch01,TBL,LW,0.6,72,195,0.08621639999066458
Josh Jooris,joorijo01,CAR,RW,0.6,73,197,0.08621639999066458
Matt Benning,bennima01,EDM,D,0.6,73,204,0.08621639999066458
Dan Hamhuis,hamhuda01,DAL,D,0.6,73,204,0.08621639999066458
Deryk Engelland,engelde01,VEG,D,0.6,74,214,0.08621639999066458
Jason Spezza,spezzja01,DAL,C,0.6,75,214,0.08621639999066458
Shawn Matthias,matthsh01,WPG,LW,0.6,76,231,0.08621639999066458
Bryan Rust,rustbr01,PIT,RW,0.5,71,192,0.06173126141792265
Milan Lucic,lucicmi01,EDM,LW,0.5,75,236,0.06173126141792265
Joe Thornton,thornjo01,SJS,C,0.5,76,220,0.06173126141792265
