Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
539,Matthew Nieto\nietoma01,25,COL,LW,37,376,453,45.4,-3.4,259,324,44.4,-3.9,10.7,91.9,102.6,33.7,66.3,14:14,11:38,10,5,-7.5,66,60.6
540,Boo Nieves\nievecr01,24,NYR,C,28,224,276,44.8,-2.2,168,197,46.0,-1.2,11.5,94.7,106.1,43.9,56.1,10:12,9:42,15,9,-3.1,35,65.7
541,Matt Niskanen\niskama01,31,WSH,D,33,608,616,49.7,2.3,441,464,48.7,3.2,12.9,92.7,105.6,43.0,57.0,22:18,19:06,9,40,-0.9,157,40.8
542,Stefan Noesen\noesest01,24,NJD,RW,35,366,381,49.0,0.9,290,274,51.4,2.7,10.5,94.0,104.4,40.1,59.9,12:05,11:43,16,5,3.4,76,67.1
543,Jordan Nolan\nolanjo01,28,BUF,LW,40,263,337,43.8,-4.8,188,236,44.3,-4.3,6.0,94.0,99.9,42.4,57.6,9:28,9:19,7,6,-4.4,47,55.3
544,Joakim Nordstrom\nordsjo02,25,CAR,LW,44,357,385,48.1,-7.0,264,290,47.7,-6.6,5.2,91.3,96.5,43.8,56.2,11:02,9:16,16,11,-2.8,110,52.7
545,Tomas Nosek\nosekto01,25,VEG,LW,41,389,383,50.4,-0.4,293,271,52.0,0.7,6.4,93.1,99.5,50.6,49.4,10:48,9:12,24,11,0.2,88,63.6
546,Ryan Nugent-Hopkins\nugenry01,24,EDM,C,46,673,625,51.8,-1.1,496,449,52.5,-1.3,7.6,90.3,97.9,54.5,45.5,17:39,13:50,35,32,5.4,183,57.9
547,Darnell Nurse\nurseda01,22,EDM,D,46,915,786,53.8,1.8,693,555,55.5,3.4,8.1,92.8,100.9,51.3,48.7,21:24,18:45,19,37,3.8,211,50.2
548,Markus Nutivaara\nutivma01,23,CBJ,D,40,610,543,52.9,3.5,479,408,54.0,3.5,6.2,94.1,100.3,53.1,46.9,15:47,15:11,6,14,5.1,105,51.4
549,William Nylander\nylanwi01,21,TOR,C,47,720,686,51.2,1.7,498,541,47.9,-0.8,11.6,93.1,104.8,48.4,51.6,16:39,14:20,32,29,2.7,206,50.0
550,Gustav Nyquist\nyquigu01,28,DET,RW,44,574,631,47.6,-0.8,435,494,46.8,-3.0,8.0,91.9,100.0,55.3,44.7,17:47,15:13,26,21,1.8,175,63.4
551,Liam O'Brien\obrieli01,23,WSH,C,3,10,17,37.0,-13.4,9,13,40.9,-10.2,0.0,100.0,100.0,69.2,30.8,6:55,6:55,1,0,-0.7,1,100.0
552,Rob O'Gara\ogararo01,24,BOS,D,8,73,80,47.7,-1.2,55,56,49.5,0.3,7.3,82.2,89.5,50.0,50.0,10:59,10:02,0,0,-2.1,9,22.2
553,Will O'Neill\oneilwi01,29,PHI,D,1,5,11,31.3,-10.1,5,9,35.7,-10.0,0.0,100.0,100.0,50.0,50.0,9:25,9:25,0,0,-0.5,3,100.0
554,Daniel O'Regan\oregada01,24,SJS,C,10,67,88,43.2,-11.5,48,71,40.3,-14.0,9.1,93.5,102.6,50.8,49.2,10:43,9:09,2,5,-1.8,10,50.0
555,Cal O'Reilly\oreilca01,31,MIN,C,1,4,11,26.7,-24.0,2,7,22.2,-33.0,0.0,100.0,100.0,75.0,25.0,8:16,7:56,1,0,0.0,1,100.0
556,Ryan O'Reilly\oreilry01,26,BUF,C,44,614,662,48.1,0.2,460,506,47.6,-0.4,8.3,88.7,97.0,41.4,58.6,20:17,15:29,36,20,-1.6,180,63.3
557,Johnny Oduya\oduyajo01,36,OTT,D,38,511,556,47.9,-1.1,391,383,50.5,2.2,7.8,90.5,98.3,48.4,51.6,16:53,14:47,13,25,-3.4,75,50.7
558,Jordan Oesterle\oestejo01,25,CHI,D,20,425,348,55.0,0.4,304,274,52.6,0.4,10.4,91.4,101.8,59.6,40.4,20:52,18:40,4,18,-0.7,96,40.6
559,Kyle Okposo\okposky01,29,BUF,RW,43,541,561,49.1,1.8,393,439,47.2,-0.6,9.0,87.4,96.4,53.7,46.3,17:21,13:57,16,14,-3.3,160,61.9
560,Jamie Oleksiak\oleksja01,25,TOT,D,34,442,443,49.9,-4.5,334,335,49.9,-4.3,6.0,90.9,96.9,47.5,52.5,15:59,13:45,5,15,-0.2,79,48.1
561,Gustav Olofsson\olofsgu01,23,MIN,D,24,216,248,46.6,-2.1,160,183,46.6,-2.6,6.0,91.1,97.1,48.9,51.1,11:42,11:18,2,10,2.9,25,44.0
