Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
750,Dominic Toninato\tonindo01,23,COL,C,9,58,48,54.7,2.5,36,32,52.9,1.0,7.7,100.0,107.7,59.5,40.5,7:57,7:41,1,1,1.2,6,50.0
751,Vincent Trocheck\trochvi01,24,FLA,C,44,735,742,49.8,0.5,570,580,49.6,-0.7,9.0,90.1,99.0,43.2,56.8,21:39,16:08,40,49,-0.8,269,58.4
752,Zach Trotman\trotmza01,27,PIT,D,3,34,29,54.0,-0.8,23,21,52.3,-1.4,0.0,82.4,82.4,58.3,41.7,12:47,11:41,0,0,0.0,10,60.0
753,Jacob Trouba\troubja01,23,WPG,D,46,830,837,49.8,-1.1,614,605,50.4,-0.9,9.7,90.8,100.5,49.2,50.8,21:55,17:47,21,46,5.6,232,49.6
754,Alex Tuch\tuchal01,21,VEG,RW,41,501,479,51.1,-1.0,369,346,51.6,-1.3,8.2,94.1,102.3,53.5,46.5,14:45,12:04,34,15,4.1,154,61.0
755,Dominic Turgeon\turgedo01,21,DET,C,2,5,13,27.8,-18.8,3,7,30.0,-14.7,0.0,80.0,80.0,60.0,40.0,7:57,6:37,1,0,0.0,1,100.0
756,Kyle Turris\turriky01,28,TOT,C,40,617,587,51.2,4.4,475,431,52.4,4.7,8.4,92.2,100.6,59.3,40.7,17:40,14:51,21,21,3.7,137,51.8
757,Scottie Upshall\upshasc01,34,STL,RW,46,397,447,47.0,-4.8,303,316,48.9,-4.5,7.1,90.7,97.8,33.3,66.7,11:13,9:40,11,6,-0.5,85,55.3
758,Curtis Valk\valkcu01,24,FLA,LW,1,4,4,50.0,3.2,3,4,42.9,-5.6,0.0,100.0,100.0,100.0,0.0,3:25,3:25,0,0,-0.2,0,
759,James van Riemsdyk\vanrija01,28,TOR,LW,46,652,511,56.1,8.3,451,399,53.1,6.3,8.7,89.7,98.3,63.9,36.1,14:40,12:16,18,22,1.4,237,55.7
760,Trevor van Riemsdyk\vanritr01,26,CAR,D,42,675,548,55.2,1.6,518,407,56.0,3.5,7.3,93.1,100.4,63.2,36.8,16:25,14:60,25,11,8.0,100,59.0
761,Thomas Vanek\vanekth01,34,VAN,LW,45,461,554,45.4,-3.3,350,422,45.3,-2.8,7.7,90.1,97.8,57.5,42.5,14:10,11:58,18,20,-4.6,142,64.1
762,Sami Vatanen\vatansa01,26,TOT,D,35,521,587,47.0,-0.4,387,444,46.6,-1.9,9.3,89.8,99.0,50.7,49.3,21:33,16:57,8,30,-4.4,127,48.0
763,Frank Vatrano\vatrafr01,23,BOS,C,20,178,147,54.8,5.0,145,116,55.6,5.6,5.4,91.1,96.5,66.1,33.9,9:57,9:07,5,6,1.2,58,58.6
764,Antoine Vermette\vermean01,35,ANA,C,47,535,648,45.2,-1.8,404,488,45.3,-2.4,8.4,92.5,100.9,41.2,58.8,15:19,12:51,10,14,-3.2,119,66.4
765,Kris Versteeg\verstkr01,31,CGY,RW,22,193,229,45.7,-7.1,139,167,45.4,-6.5,3.1,94.3,97.4,47.2,52.8,13:08,9:52,11,18,-3.2,83,55.4
766,Jimmy Vesey\veseyji02,24,NYR,LW,46,480,578,45.4,-1.9,352,441,44.4,-4.0,9.3,91.1,100.4,52.5,47.5,14:01,12:20,25,27,-1.3,134,59.7
767,Jake Virtanen\virtaja01,21,VAN,RW,40,383,386,49.8,3.1,293,313,48.3,1.9,7.0,94.0,101.0,45.0,55.0,11:01,10:54,27,15,-4.2,120,58.3
768,Marc-Edouard Vlasic\vlasima01,30,SJS,D,43,708,730,49.2,-5.0,518,501,50.8,-2.6,8.8,91.7,100.4,41.0,59.0,22:39,17:48,15,40,-0.9,186,46.8
769,Jakub Voracek\voracja01,28,PHI,RW,45,670,668,50.1,1.3,507,518,49.5,0.6,10.8,91.8,102.5,48.4,51.6,19:31,15:47,18,39,0.7,249,57.8
770,Jakub Vrana\vranaja01,21,WSH,LW,46,571,544,51.2,4.2,410,399,50.7,5.4,7.9,92.5,100.4,60.4,39.6,13:22,12:27,21,29,2.6,137,65.7
771,Radim Vrbata\vrbatra01,36,FLA,RW,33,342,436,44.0,-6.8,268,337,44.3,-7.3,7.0,92.0,99.0,41.6,58.4,13:08,11:36,15,16,-7.6,117,65.0
772,Chris Wagner\wagnech01,26,ANA,C,47,463,572,44.7,-2.4,348,421,45.3,-2.4,5.9,94.1,100.0,41.1,58.9,14:55,11:35,9,13,-6.8,114,52.6
773,Nathan Walker\walkena01,23,TOT,LW,9,58,72,44.6,-1.6,41,55,42.7,-2.5,13.0,91.7,104.7,43.2,56.8,9:27,8:47,0,1,-1.5,11,54.5
774,Lucas Wallmark\wallmlu01,22,CAR,C,4,32,35,47.8,-4.9,25,28,47.2,-5.3,9.5,83.3,92.9,57.1,42.9,9:52,9:41,2,2,-0.3,10,60.0
775,Joel Ward\wardjo02,37,SJS,RW,36,352,356,49.7,-2.5,248,260,48.8,-3.7,6.7,95.1,101.8,54.6,45.4,12:24,10:45,16,9,-4.3,56,42.9
776,Austin Watson\watsoau01,26,NSH,LW,42,318,413,43.5,-7.5,225,283,44.3,-6.4,6.4,93.8,100.2,32.3,67.7,12:25,9:54,14,16,-6.5,86,53.5
777,Jordan Weal\wealjo01,25,PHI,C,39,393,406,49.2,-0.7,292,301,49.2,-0.8,7.4,94.5,101.9,52.3,47.7,13:05,11:18,11,9,-0.9,107,55.1
778,Shea Weber\webersh01,32,MTL,D,26,558,476,54.0,1.4,411,346,54.3,3.3,5.4,89.1,94.6,52.7,47.3,25:21,18:22,7,31,3.3,163,46.0
779,Yannick Weber\weberya01,29,NSH,D,26,246,310,44.2,-6.3,185,232,44.4,-6.1,7.1,94.6,101.7,55.1,44.9,12:13,12:02,1,7,-2.7,39,35.9
780,MacKenzie Weegar\weegama01,24,FLA,D,27,347,333,51.0,3.2,261,238,52.3,3.7,4.0,94.4,98.4,49.7,50.3,14:17,13:21,13,27,0.0,68,41.2
781,Dale Weise\weiseda01,29,PHI,RW,34,298,369,44.7,-4.5,210,275,43.3,-6.3,4.0,93.3,97.2,56.6,43.4,10:47,10:19,11,5,-3.5,52,69.2
782,Andy Welinski\welinan01,24,ANA,D,4,47,63,42.7,-10.6,32,52,38.1,-13.9,10.0,97.4,107.4,50.0,50.0,16:42,14:08,1,3,-0.9,6,33.3
783,Alexander Wennberg\wennbal01,23,CBJ,C,33,492,449,52.3,0.8,386,344,52.9,0.5,9.3,92.2,101.5,60.3,39.7,18:19,15:01,24,8,3.2,81,54.3
784,Zach Werenski\werenza01,20,CBJ,D,43,918,705,56.6,7.9,707,517,57.8,7.7,7.4,90.7,98.2,58.6,41.4,23:13,19:30,23,26,7.4,242,50.8
785,Blake Wheeler\wheelbl01,31,WPG,RW,46,697,767,47.6,-4.3,526,558,48.5,-3.6,10.0,91.9,101.9,54.2,45.8,20:19,15:48,17,27,1.1,227,61.7
786,Colin White\whiteco02,21,OTT,C,3,24,36,40.0,-0.7,20,24,45.5,6.1,7.7,100.0,107.7,50.0,50.0,10:43,10:43,1,1,-1.0,3,33.3
787,Chris Wideman\widemch01,28,OTT,D,16,151,134,53.0,7.0,123,104,54.2,5.6,10.8,95.6,106.3,58.8,41.2,11:33,9:23,0,9,2.3,45,53.3
788,Justin Williams\williju01,36,CAR,RW,45,719,554,56.5,3.7,516,422,55.0,2.5,7.3,91.8,99.1,57.4,42.6,16:44,14:24,26,53,4.9,193,53.9
789,Colin Wilson\wilsoco01,28,COL,C,35,346,374,48.1,-0.3,262,274,48.9,0.9,7.3,93.2,100.5,45.9,54.1,13:15,11:00,7,9,1.7,67,73.1
790,Scott Wilson\wilsosc01,25,TOT,C/LW,33,214,279,43.4,-4.4,167,211,44.2,-4.1,5.4,93.0,98.4,42.3,57.7,9:06,8:14,6,3,-3.6,38,65.8
791,Tom Wilson\wilsoto01,23,WSH,RW,43,562,528,51.6,4.4,384,418,47.9,1.3,11.7,91.5,103.2,58.8,41.2,15:20,13:20,25,25,-1.0,130,49.2
792,Tommy Wingels\wingeto01,29,CHI,RW,42,345,384,47.3,-7.2,254,272,48.3,-3.9,6.3,91.8,98.0,42.8,57.2,10:51,9:20,14,12,0.8,72,69.4
793,Daniel Winnik\winnida01,32,MIN,LW,46,431,576,42.8,-4.5,319,420,43.2,-5.3,8.8,93.2,102.0,44.7,55.3,14:12,11:56,8,4,-2.5,91,56.0
794,Luke Witkowski\witkolu01,27,DET,RW,15,66,79,45.5,-3.9,51,60,45.9,-2.4,5.3,95.7,100.9,44.4,55.6,5:50,5:43,0,2,-1.2,10,70.0
795,Miles Wood\woodmi01,22,NJD,LW,43,463,467,49.8,2.6,365,345,51.4,3.6,8.4,91.3,99.7,46.2,53.8,12:13,11:12,12,22,0.3,134,68.7
796,Nail Yakupov\yakupna01,24,COL,RW,38,304,328,48.1,-0.2,213,252,45.8,-2.8,11.0,91.9,102.9,53.2,46.8,11:22,9:10,11,10,-1.1,109,59.6
797,Kailer Yamamoto\yamamka01,19,EDM,RW,9,159,108,59.6,5.3,105,69,60.3,5.8,3.8,92.9,96.7,61.3,38.7,15:10,13:11,5,8,2.0,41,56.1
798,Keith Yandle\yandlke01,31,FLA,D,44,823,862,48.8,-0.9,639,677,48.6,-2.5,8.8,91.7,100.5,44.6,55.4,24:40,18:58,14,64,-4.6,182,47.8
799,Pavel Zacha\zachapa01,20,NJD,C,37,397,420,48.6,1.5,314,309,50.4,2.5,8.8,92.2,101.0,49.6,50.4,13:51,11:33,19,17,3.6,101,49.5
800,Nikita Zadorov\zadorni01,22,COL,D,39,606,616,49.6,1.2,444,455,49.4,1.3,9.3,90.7,100.1,37.6,62.4,18:35,15:45,4,14,-0.7,133,33.8
801,Nikita Zaitsev\zaitsni01,26,TOR,D,34,596,682,46.6,-5.3,423,519,44.9,-5.5,11.3,93.6,104.9,44.0,56.0,22:51,18:43,10,42,0.0,112,32.1
802,Travis Zajac\zajactr01,32,NJD,C,27,277,356,43.8,-7.8,206,248,45.4,-7.5,7.1,92.3,99.4,46.7,53.3,17:42,13:26,17,4,-3.3,54,55.6
803,Henrik Zetterberg\zettehe01,37,DET,LW,44,640,713,47.3,-1.3,492,547,47.4,-2.4,8.7,92.1,100.7,53.6,46.4,19:41,16:56,28,29,4.0,179,55.3
804,Mika Zibanejad\zibanmi01,24,NYR,C,37,523,484,51.9,6.1,402,358,52.9,6.3,8.0,88.8,96.7,52.8,47.2,17:55,13:38,29,34,3.9,186,54.8
805,Mats Zuccarello\zuccama01,30,NYR,RW,45,588,693,45.9,-1.3,455,496,47.8,0.5,9.1,90.6,99.7,52.5,47.5,18:56,14:52,43,32,-2.0,159,58.5
806,Jason Zucker\zuckeja01,26,MIN,LW,46,588,585,50.1,5.5,455,430,51.4,5.9,10.0,90.7,100.7,43.5,56.5,17:18,13:52,31,18,7.6,171,67.3
