Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
53,Bogdan Bogdanovic\bogdabo01,SG,25,SAC,41,1089,14.8,.601,.416,.188,1.6,10.2,5.8,16.9,1.9,0.9,14.8,18.9,,1.4,0.4,1.8,.078,,1.2,-1.6,-0.4,0.4
54,Bojan Bogdanovic\bogdabo02,SF,28,IND,44,1347,12.5,.589,.462,.200,0.9,10.5,5.8,6.4,1.0,0.1,9.8,18.4,,1.6,0.6,2.2,.078,,0.6,-2.3,-1.6,0.1
55,Andrew Bogut\bogutan01,C,33,LAL,24,216,10.9,.696,.000,.080,12.6,25.9,19.2,9.2,0.9,4.9,42.3,8.7,,0.1,0.3,0.4,.089,,-4.0,3.5,-0.5,0.1
56,Joel Bolomboy\bolomjo01,PF,24,MIL,6,38,12.0,.521,.167,1.000,18.8,12.7,15.8,0.0,2.6,0.0,18.8,12.8,,0.0,0.0,0.1,.079,,-2.9,-4.7,-7.7,-0.1
57,Devin Booker\bookede01,SG,21,PHO,35,1204,19.4,.576,.364,.340,1.2,12.9,7.0,24.1,1.3,0.6,14.2,31.3,,2.0,0.4,2.4,.095,,3.6,-2.4,1.2,1.0
58,Trevor Booker\booketr01,PF,30,TOT,34,630,16.2,.563,.068,.309,11.2,19.5,15.4,13.3,1.3,1.7,15.2,18.7,,0.8,0.7,1.6,.119,,-0.9,1.1,0.2,0.3
58,Trevor Booker\booketr01,PF,30,BRK,18,395,15.6,.536,.087,.287,10.0,21.9,15.9,16.3,1.0,1.0,15.1,21.5,,0.3,0.4,0.7,.085,,-1.4,0.8,-0.6,0.1
58,Trevor Booker\booketr01,PF,30,PHI,16,235,17.3,.634,.018,.368,13.3,15.5,14.4,8.1,1.8,2.8,15.3,14.1,,0.5,0.3,0.9,.177,,0.0,1.6,1.6,0.2
59,Avery Bradley\bradlav01,SG,27,DET,36,1146,10.9,.507,.345,.151,1.6,7.0,4.2,11.0,1.9,0.5,13.5,25.0,,-0.9,1.1,0.2,.010,,-2.1,-1.3,-3.4,-0.4
60,Tony Bradley\bradlto01,C,20,UTA,8,28,10.1,.337,.091,.182,16.0,29.5,22.6,5.4,0.0,0.0,0.0,19.4,,0.0,0.0,0.0,.006,,-6.7,-3.9,-10.6,-0.1
61,Corey Brewer\breweco01,SF,31,LAL,43,519,8.5,.514,.282,.347,2.4,10.3,6.3,8.3,2.9,1.1,17.3,14.0,,-0.2,0.6,0.5,.042,,-3.9,0.9,-3.0,-0.1
62,Malcolm Brogdon\brogdma01,PG,25,MIL,43,1338,14.2,.569,.318,.160,2.0,11.0,6.5,16.6,1.4,0.7,10.4,19.1,,1.9,0.6,2.5,.088,,0.8,-2.0,-1.2,0.3
63,Aaron Brooks\brookaa01,PG,33,MIN,21,151,9.9,.502,.420,.080,3.8,6.2,5.0,15.1,1.7,0.0,11.9,17.3,,0.1,0.1,0.1,.045,,-0.9,-3.0,-3.9,-0.1
64,Dillon Brooks\brookdi01,SF,22,MEM,43,1174,8.2,.555,.379,.186,2.1,10.0,6.0,6.6,1.4,1.0,13.3,14.1,,0.3,0.7,1.0,.041,,-2.0,-0.5,-2.4,-0.1
65,Bobby Brown\brownbo02,PG,33,HOU,20,115,5.5,.425,.690,.034,0.0,6.9,3.4,14.7,1.7,0.0,13.3,25.5,,-0.3,0.1,-0.2,-0.080,,-4.9,-4.6,-9.4,-0.2
66,Jaylen Brown\brownja02,SF,21,BOS,41,1289,13.5,.551,.403,.300,3.8,15.3,9.6,7.4,1.8,1.1,11.4,20.8,,0.6,2.3,2.9,.108,,-0.8,1.0,0.2,0.7
67,Lorenzo Brown\brownlo01,PG,27,TOR,11,84,7.5,.333,.333,.000,0.0,13.2,6.7,18.3,1.7,0.0,0.0,9.3,,0.0,0.1,0.1,.053,,-3.5,0.0,-3.6,0.0
68,Sterling Brown\brownst02,SG,22,MIL,19,174,10.9,.538,.367,.143,4.1,18.1,11.0,3.3,3.2,2.0,11.8,15.5,,0.0,0.2,0.2,.065,,-3.0,-0.5,-3.5,-0.1
69,Nicolas Brussino\brussni01,SF,24,ATL,4,10,-4.7,.000,1.000,.000,0.0,34.4,17.1,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.178,,-13.5,-5.2,-18.7,0.0
